mutant	verdict	detail
tool:L_typeII/opt0/atom0/rhs0+	killed	config=no_typeIprime_bound slice=867/1000 (mutant=witness, expected covered)
tool:L_typeII/opt0/atom0/rhs0-	killed	config=no_typeIprime_bound slice=173/200 (mutant=covered, expected witness)
tool:L_typeII/opt0/atom0/rhs1+	killed	config=no_typeIprime_bound slice=867/1000 (mutant=witness, expected covered)
tool:L_typeII/opt0/atom0/rhs1-	killed	config=no_typeIprime_bound slice=173/200 (mutant=covered, expected witness)
tool:L_typeI/opt0/atom0/rhs0+	killed	config=base slice=2426/2817 (mutant=witness, expected covered)
tool:L_typeI/opt0/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:L_typeI/opt0/atom0/rhs1+	killed	config=base slice=2426/2817 (mutant=witness, expected covered)
tool:L_typeI/opt0/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt0/atom0/rhs0+	killed	config=base slice=2426/2817 (mutant=witness, expected covered)
tool:T_thm12/opt0/atom0/rhs0-	killed	config=base slice=429/500 (mutant=covered, expected witness)
tool:T_thm12/opt0/atom0/rhs1+	killed	config=base slice=2426/2817 (mutant=witness, expected covered)
tool:T_thm12/opt0/atom0/rhs1-	killed	config=base slice=429/500 (mutant=covered, expected witness)
tool:T_thm12/opt1/atom0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt1/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt1/atom0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt1/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt2/atom0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt2/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt2/atom0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt2/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt3/atom0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt3/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt3/atom0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt3/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt4/atom0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:T_thm12/opt4/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
