mutant	verdict	detail
tool:HB-typeII/opt0/atom0/rhs0+	killed	config=pre-RS-toolkit slice=87/100 (mutant=witness, expected covered)
tool:HB-typeII/opt0/atom0/rhs0-	killed	config=pre-RS-toolkit slice=863/1000 (mutant=covered, expected witness)
tool:HB-typeII/opt0/atom0/rhs1+	killed	config=pre-RS-toolkit slice=87/100 (mutant=witness, expected covered)
tool:HB-typeII/opt0/atom0/rhs1-	killed	config=pre-RS-toolkit slice=13/15 (mutant=covered, expected witness)
tool:Rivat-thesis-typeI/opt0/atom0/rhs0+	killed	config=base slice=4307/5000 (mutant=witness, expected covered)
tool:Rivat-thesis-typeI/opt0/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:Rivat-thesis-typeI/opt0/atom0/rhs1+	killed	config=base slice=4307/5000 (mutant=witness, expected covered)
tool:Rivat-thesis-typeI/opt0/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T1/opt0/atom0/rhs0+	killed	config=base slice=4307/5000 (mutant=witness, expected covered)
tool:RS-T1/opt0/atom0/rhs0-	killed	config=base slice=43/50 (mutant=covered, expected witness)
tool:RS-T1/opt0/atom0/rhs1+	killed	config=base slice=4307/5000 (mutant=witness, expected covered)
tool:RS-T1/opt0/atom0/rhs1-	killed	config=base slice=43/50 (mutant=covered, expected witness)
tool:RS-T1/opt1/atom0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T1/opt1/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T1/opt1/atom0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T1/opt1/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T1/opt2/atom0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T1/opt2/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T1/opt2/atom0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T1/opt2/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T1/opt3/atom0/rhs0+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T1/opt3/atom0/rhs0-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T1/opt3/atom0/rhs1+	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T1/opt3/atom0/rhs1-	SURVIVED	UNOBSERVABLE (boundary set identical to base in every configuration)
tool:RS-T2/opt0/atom0/rhs0+	killed	config=theoreme-2-toolkit slice=863/1000 (mutant=witness, expected covered)
tool:RS-T2/opt0/atom0/rhs0-	killed	config=base slice=43/50 (mutant=covered, expected witness)
tool:RS-T2/opt0/atom0/rhs1+	killed	config=theoreme-2-toolkit slice=863/1000 (mutant=witness, expected covered)
tool:RS-T2/opt0/atom0/rhs1-	killed	config=base slice=43/50 (mutant=covered, expected witness)
